patch_cells,patch_arcmin,hole_arcmin,field,sample,gaussian_mse,gaussian_corr,void_auc,overdense_auc,peak_auc
4,1.875,0.9375,south_330m45,real,0.7505763363405279,0.17045062568578173,0.6850340136054421,0.6623300970873787,0.6293582056406839
4,1.875,0.9375,south_330m45,cell_permutation,0.7549223357353041,0.030172590381176204,0.4651122773810548,0.5169778360082978,0.4755747126436782
4,1.875,0.9375,south_330m45,matched_shift,0.7752190261446323,-0.007671643776045078,0.4672619047619047,0.49699029126213595,0.4297135243171219
4,1.875,0.9375,south_345m30,real,1.001397630637707,0.3785975678951955,0.8003745802118315,0.779541015625,0.7666990291262136
4,1.875,0.9375,south_345m30,cell_permutation,1.0326008379811409,-0.008244719735078143,0.4986584107327141,0.45576279292204686,0.4224486495228853
4,1.875,0.9375,south_345m30,matched_shift,1.1645639131289487,-0.0340345188444149,0.5439163006974942,0.5161946614583334,0.5065048543689321
8,3.75,1.875,cosmos,real,0.9584582436963628,0.21446208174664136,0.887719298245614,0.7181286549707602,0.5368421052631579
8,3.75,1.875,cosmos,cell_permutation,1.0596306731899272,-0.011447238604923242,0.49795918367346936,0.4065180102915952,0.4342857142857143
8,3.75,1.875,cosmos,matched_shift,1.0416922851478863,0.02145832215583099,0.5695906432748539,0.3906432748538011,0.40467836257309936
8,3.75,1.875,xmm_lss,real,1.2556891176073357,0.18284451273987554,0.7285259809119831,0.7221526908635795,0.6409090909090909
8,3.75,1.875,xmm_lss,cell_permutation,1.3940611929550188,0.08267704614786729,0.5435435435435436,0.3705357142857143,0.3968253968253968
8,3.75,1.875,xmm_lss,matched_shift,1.3319483785344644,0.02572647376662232,0.5737009544008485,0.47559449311639557,0.48522727272727273
8,3.75,1.875,cdfs,real,1.1528855109957636,0.09837293060701431,0.7269984917043741,0.7385714285714287,0.6432748538011697
8,3.75,1.875,cdfs,cell_permutation,1.2186614318928213,0.022925688365187533,0.48615725359911405,0.5060034305317325,0.4962292609351433
8,3.75,1.875,cdfs,matched_shift,1.179996817716384,0.0033226360174196563,0.3257918552036199,0.31714285714285717,0.3953216374269006
