selection,field,sample,void_auc,overdense_auc,peak_auc,gaussian_corr,gaussian_mse
clean_allbands,south_135m25,real,0.8558558558558558,0.765625,,0.6935665456431611,0.4324508555957055
clean_allbands,south_135m25,matched_shift,0.5385385385385385,0.5446428571428572,,-0.03677178438311432,0.970309864994616
clean_allbands,south_210m35,real,0.8585858585858586,0.6483704974271012,0.8237288135593221,0.3446881343122929,0.6880117293396331
clean_allbands,south_210m35,matched_shift,0.4363636363636364,0.39622641509433965,0.6508474576271187,-0.0050219158716118,0.8283111604708797
clean_allbands,des_315m45,real,0.8686868686868686,0.6714285714285714,0.3670668953687821,0.3324836434392658,0.752710739470235
clean_allbands,des_315m45,matched_shift,0.25656565656565655,0.4842857142857143,0.451114922813036,-0.049538234097420905,0.9226828312761646
clean_allbands,south_330m45,real,0.7966269841269842,0.7543859649122807,0.6839080459770115,0.4965269822717478,0.7194860368753084
clean_allbands,south_330m45,matched_shift,0.5535714285714286,0.7593984962406015,0.48563218390804597,0.021047904601359777,1.034872917188274
clean_allbands,south_345m30,real,0.8385964912280701,0.8988636363636364,0.7222222222222222,0.46211335397116415,0.5824074725616624
clean_allbands,south_345m30,matched_shift,0.5906432748538011,0.5545454545454546,0.4388888888888889,0.011936289347964247,0.7606710343392302
thin50,cosmos,real,0.640625,0.7291666666666667,0.5085085085085085,0.12364151388755992,1.44328280735041
thin50,cosmos,matched_shift,0.6375000000000001,0.4921875,0.5995995995995996,0.03053701010380065,1.4910049804200003
thin50,xmm_lss,real,0.5785024154589372,0.849624060150376,0.7999999999999999,0.11087451540238033,0.6860198121491439
thin50,xmm_lss,matched_shift,0.5483091787439613,0.468671679197995,0.23333333333333334,-0.003676260716348181,0.7123593217787313
thin50,cdfs,real,0.8888888888888888,0.6706706706706707,0.5483870967741935,0.07915363508049436,0.5223946320164812
thin50,cdfs,matched_shift,0.33333333333333337,0.4524524524524524,0.41129032258064513,-0.050660885546797624,0.567355924503399
thin50,elais_s1,real,0.6728515625,0.7313131313131314,0.4479638009049774,0.09516222373343992,1.4905781576278363
thin50,elais_s1,matched_shift,0.5361328125,0.608080808080808,0.5082956259426847,0.014235217446282875,1.551969044360058
thin50,south_045m30,real,0.6639676113360324,0.4977678571428571,0.522702104097453,0.023458877515123832,1.5763645596371596
